text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
疑是地上霜,yí shì dì shàng shuāng,明月洒满窗前，恍如地上泛起一层秋霜,,,静夜思·李白,1,床前明月光,,部编版一年级上,一年级
处处闻啼鸟,chù chù wén tí niǎo,春睡酣沉不觉天亮，醒来处处听到鸟儿的啼唱,,,春晓·孟浩然,1,春眠不觉晓,,部编版一年级下,一年级
花落知多少,huā luò zhī duō shǎo,一夜风雨不知吹落了多少春花,,,春晓·孟浩然,1,夜来风雨声,,部编版一年级下,一年级
红掌拨清波,hóng zhǎng bō qīng bō,洁白的羽毛浮在碧绿水面，红红的脚掌拨动着清清的水波,,,咏鹅·骆宾王,1,白毛浮绿水,,部编版一年级上,一年级
汗滴禾下土,hàn dī hé xià tǔ,农夫烈日下锄草，汗珠滴落在禾苗下的泥土里,,,悯农·李绅,1,锄禾日当午,,部编版二年级上,二年级
粒粒皆辛苦,lì lì jiē xīn kǔ,谁知道盘中的饭食，每一粒都饱含辛苦,,,悯农·李绅,2,谁知盘中餐,,部编版二年级上,二年级
黄河入海流,huáng hé rù hǎi liú,夕阳依傍山峦渐渐下落，黄河朝着大海滔滔奔流,,,登鹳雀楼·王之涣,1,白日依山尽,,部编版二年级上,二年级
更上一层楼,gèng shàng yī céng lóu,要想看到千里之外的风光，就要再登上一层楼,,,登鹳雀楼·王之涣,2,欲穷千里目,,部编版二年级上,二年级
疑是银河落九天,yí shì yín hé luò jiǔ tiān,瀑布飞泻仿佛是银河从九天之上倾落下来,,,望庐山瀑布·李白,2,飞流直下三千尺,,部编版二年级下,二年级
霜叶红于二月花,shuāng yè hóng yú èr yuè huā,停下车来只因爱这枫林晚景，霜染的枫叶胜过二月春花,,,山行·杜牧,2,停车坐爱枫林晚,,部编版三年级上,三年级
每逢佳节倍思亲,měi féng jiā jié bèi sī qīn,独自客居他乡，每到佳节就加倍思念亲人,,,九月九日忆山东兄弟·王维,2,独在异乡为异客,,部编版三年级下,三年级
映日荷花别样红,yìng rì hé huā bié yàng hóng,莲叶碧绿接天一望无际，阳光下的荷花格外艳红,,,净慈寺·杨万里,2,接天莲叶无穷碧,,部编版二年级下,二年级
不教胡马度阴山,bú jiào hú mǎ dù yīn shān,只要龙城飞将还在，绝不许胡马越过阴山,,,出塞·王昌龄,2,但使龙城飞将在,,部编版四年级上,四年级
江春入旧年,jiāng chūn rù jiù nián,海日生于残夜将尽未尽之时，江春闯入旧年将去未去之际,,,次北固山下·王湾,3,海日生残夜,,部编版初中七上,七年级
一览众山小,yī lǎn zhòng shān xiǎo,终要登上泰山顶峰，俯瞰群山尽收眼底,,,望岳·杜甫,3,会当凌绝顶,,部编版初中七下,七年级
