text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
good,ɡʊd,好的,,,人教版七上,2,,,人教版 7年级上册,七年级
morning,'mɔrnɪŋ,早晨；上午,,,人教版七上,2,,,人教版 7年级上册,七年级
Good morning!,,早上好！,,,人教版七上,2,,,人教版 7年级上册,七年级
hi,haɪ,(用于打招呼)嗨；喂,,,人教版七上,2,,,人教版 7年级上册,七年级
hello,həˈlo,你好；喂,,,人教版七上,2,,,人教版 7年级上册,七年级
afternoon,，æftɚ'nun,下午,,,人教版七上,2,,,人教版 7年级上册,七年级
Good afternoon!,,下午好！,,,人教版七上,2,,,人教版 7年级上册,七年级
evening,'ivnɪŋ,晚上；傍晚,,,人教版七上,2,,,人教版 7年级上册,七年级
Good evening!,,晚上好！,,,人教版七上,2,,,人教版 7年级上册,七年级
how,haʊ,怎样；如何,,,人教版七上,2,,,人教版 7年级上册,七年级
are,ɑr,是（第二人称单复数现在式）,,,人教版七上,2,,,人教版 7年级上册,七年级
you,ju,你；你们,,,人教版七上,2,,,人教版 7年级上册,七年级
How are you?,haʊ ɑr ju,你好吗？,,,人教版七上,2,,,人教版 7年级上册,七年级
I,aɪ,我,,,人教版七上,2,,,人教版 7年级上册,七年级
am,ɛm,是(第一人称单数现在时),,,人教版七上,2,,,人教版 7年级上册,七年级
fine,faɪn,美好的；健康的,,,人教版七上,2,,,人教版 7年级上册,七年级
thanks,θæŋks,感谢；谢谢；感谢；谢谢,,,人教版七上,2,,,人教版 7年级上册,七年级
OK,,好；可以；好；可以,,,人教版七上,2,,,人教版 7年级上册,七年级
what,hwɒt; hwɑt,什么,,,人教版七上,2,,,人教版 7年级上册,七年级
is,ɪz,是（第三人称单数现在时）,,,人教版七上,2,,,人教版 7年级上册,七年级
this,ðɪs,这；这个,,,人教版七上,2,,,人教版 7年级上册,七年级
in,ɪn,(表示使用语言、材料等)用；以,,,人教版七上,2,,,人教版 7年级上册,七年级
English,'ɪŋɡlɪʃ,英语；英格兰的；英格兰人的；英语的,,,人教版七上,2,,,人教版 7年级上册,七年级
in English,,用英语,,,人教版七上,2,,,人教版 7年级上册,七年级
map,mæp,地图,,,人教版七上,2,,,人教版 7年级上册,七年级
cup,kʌp,杯子,,,人教版七上,2,,,人教版 7年级上册,七年级
ruler,'rulɚ,尺；直尺,,,人教版七上,2,,,人教版 7年级上册,七年级
pen,pɛn,笔；钢笔,,,人教版七上,2,,,人教版 7年级上册,七年级
orange,'ɔrɪndʒ,橙子,,,人教版七上,2,,,人教版 7年级上册,七年级
jacket,'dʒækɪt,夹克衫；短上衣,,,人教版七上,2,,,人教版 7年级上册,七年级
key,kiː,钥匙,,,人教版七上,2,,,人教版 7年级上册,七年级
quilt,kwɪlt,被子；床罩,,,人教版七上,2,,,人教版 7年级上册,七年级
it,ɪt,它,,,人教版七上,2,,,人教版 7年级上册,七年级
a,ə; e,(用于单数可数名词前)一(人、事、物),,,人教版七上,2,,,人教版 7年级上册,七年级
that,ðæt,那；那个,,,人教版七上,2,,,人教版 7年级上册,七年级
spell,spɛl,用字母拼；拼写,,,人教版七上,2,,,人教版 7年级上册,七年级
please,pliz,(用于客气地请求或吩咐)请,,,人教版七上,2,,,人教版 7年级上册,七年级
color,'kʌlɚ,(colour的美式拼法) 颜色,,,人教版七上,2,,,人教版 7年级上册,七年级
