text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
guitar,ɡɪ'tɑr,吉他,,,人教版七下,2,,,人教版 7年级下册,七年级
sing,sɪŋ,唱；唱歌,,,人教版七下,2,,,人教版 7年级下册,七年级
swim,swɪm,游泳,,,人教版七下,2,,,人教版 7年级下册,七年级
dance,dæns,跳舞,,,人教版七下,2,,,人教版 7年级下册,七年级
draw,drɔ,画,,,人教版七下,2,,,人教版 7年级下册,七年级
chess,tʃɛs,国际象棋,,,人教版七下,2,,,人教版 7年级下册,七年级
play  chess,ple tʃɛs,下国际象棋,,,人教版七下,2,,,人教版 7年级下册,七年级
speak,spik,说；说话,,,人教版七下,2,,,人教版 7年级下册,七年级
speak  English,,说英语,,,人教版七下,2,,,人教版 7年级下册,七年级
join,dʒɔɪn,参加；加入,,,人教版七下,2,,,人教版 7年级下册,七年级
club,klʌb,俱乐部；社团,,,人教版七下,2,,,人教版 7年级下册,七年级
be good at...,,擅长于……,,,人教版七下,2,,,人教版 7年级下册,七年级
tell,tel,讲述；告诉,,,人教版七下,2,,,人教版 7年级下册,七年级
story,stɔrɪ,故事；小说,,,人教版七下,2,,,人教版 7年级下册,七年级
write,raɪt,写作，写字,,,人教版七下,2,,,人教版 7年级下册,七年级
show,ʃo,演出;表演；向某人出示,,,人教版七下,2,,,人教版 7年级下册,七年级
or,ɔr,或者,,,人教版七下,2,,,人教版 7年级下册,七年级
talk,tɔk,说话；谈话；交谈,,,人教版七下,2,,,人教版 7年级下册,七年级
talk to ...,,跟……说,,,人教版七下,2,,,人教版 7年级下册,七年级
kungfu,,（中国）功夫,,,人教版七下,2,,,人教版 7年级下册,七年级
drum,drʌm,鼓,,,人教版七下,2,,,人教版 7年级下册,七年级
play the drums,,敲鼓,,,人教版七下,2,,,人教版 7年级下册,七年级
piano,pɪ'æno,钢琴,,,人教版七下,2,,,人教版 7年级下册,七年级
play the piano,,弹钢琴,,,人教版七下,2,,,人教版 7年级下册,七年级
violin,，vaɪə'lɪn,小提琴,,,人教版七下,2,,,人教版 7年级下册,七年级
play the violin,,拉小提琴,,,人教版七下,2,,,人教版 7年级下册,七年级
also,'ɔlso,而且；也,,,人教版七下,2,,,人教版 7年级下册,七年级
people,'pipl,人； 人们,,,人教版七下,2,,,人教版 7年级下册,七年级
home,hom,家，住所；到家；在家,,,人教版七下,2,,,人教版 7年级下册,七年级
be good with...,,善于应付……的；对……有办法,,,人教版七下,2,,,人教版 7年级下册,七年级
make,mek,制造,,,人教版七下,2,,,人教版 7年级下册,七年级
make friends,,结交朋友,,,人教版七下,2,,,人教版 7年级下册,七年级
today,tə'de,在今天,,,人教版七下,2,,,人教版 7年级下册,七年级
help (sb) with sth,,在某方面帮助（某人）,,,人教版七下,2,,,人教版 7年级下册,七年级
center,'sɛntɚ,（centre的美式拼法）中心，中央,,,人教版七下,2,,,人教版 7年级下册,七年级
weekend,ˈwikend,周末,,,人教版七下,2,,,人教版 7年级下册,七年级
on the weekend,,(在)周末,,,人教版七下,2,,,人教版 7年级下册,七年级
teach,titʃ,教，讲授,,,人教版七下,2,,,人教版 7年级下册,七年级
musician,mjʊ'zɪʃən,音乐家,,,人教版七下,2,,,人教版 7年级下册,七年级
up,ʌp,向上,,,人教版七下,2,,,人教版 7年级下册,七年级
get up,,站起；起床,,,人教版七下,2,,,人教版 7年级下册,七年级
dress,drɛs,穿衣服；连衣裙,,,人教版七下,2,,,人教版 7年级下册,七年级
get dressed,,穿上衣服,,,人教版七下,2,,,人教版 7年级下册,七年级
brush,brʌʃ,刷， 刷净；刷子,,,人教版七下,2,,,人教版 7年级下册,七年级
tooth,tuθ,(pl  teeth)牙齿,,,人教版七下,2,,,人教版 7年级下册,七年级
shower,'ʃaʊɚ,淋浴器（间）；淋浴；洗淋浴,,,人教版七下,2,,,人教版 7年级下册,七年级
take a shower,,洗淋浴,,,人教版七下,2,,,人教版 7年级下册,七年级
usually,juʒəlɪ,通常地；一般地,,,人教版七下,2,,,人教版 7年级下册,七年级
forty,'fɔrti,四十,,,人教版七下,2,,,人教版 7年级下册,七年级
Wow,wou,（表示惊奇或敬佩）哇；呀,,,人教版七下,2,,,人教版 7年级下册,七年级
never,'nɛvɚ,从不；绝不,,,人教版七下,2,,,人教版 7年级下册,七年级
early,'ɝli,早（的）；提早，提前,,,人教版七下,2,,,人教版 7年级下册,七年级
fifty,'fɪfti,五十,,,人教版七下,2,,,人教版 7年级下册,七年级
job,dʒɒb,工作；职业,,,人教版七下,2,,,人教版 7年级下册,七年级
work,wɝk,工作；工作；职业,,,人教版七下,2,,,人教版 7年级下册,七年级
station,ˈsteɪʃən,车站；电视台,,,人教版七下,2,,,人教版 7年级下册,七年级
radio station,,广播电台,,,人教版七下,2,,,人教版 7年级下册,七年级
o'clock,ə'klɑk,（表示整点）…点钟,,,人教版七下,2,,,人教版 7年级下册,七年级
night,naɪt,晚上；夜晚,,,人教版七下,2,,,人教版 7年级下册,七年级
funny,'fʌni,滑稽好笑的,,,人教版七下,2,,,人教版 7年级下册,七年级
exercise,'ɛksɚsaɪz,锻炼；练习，训练；运动，锻炼(身体),,,人教版七下,2,,,人教版 7年级下册,七年级
on weekends,,(在)周末,,,人教版七下,2,,,人教版 7年级下册,七年级
best,bɛst,最好的；最好地,,,人教版七下,2,,,人教版 7年级下册,七年级
half,hæf,一半，半数,,,人教版七下,2,,,人教版 7年级下册,七年级
past,pæst,晚于；过（时间）；过去的,,,人教版七下,2,,,人教版 7年级下册,七年级
quarter,'kwɔrtɚ,四分之一；一刻钟,,,人教版七下,2,,,人教版 7年级下册,七年级
homework,'hom'wɝk,家庭作业,,,人教版七下,2,,,人教版 7年级下册,七年级
do (one's) homework,,做作业,,,人教版七下,2,,,人教版 7年级下册,七年级
run,rʌn,跑；奔,,,人教版七下,2,,,人教版 7年级下册,七年级
clean,klin,打扫；弄干净；；干净的,,,人教版七下,2,,,人教版 7年级下册,七年级
walk,wɔk,行走；步行；散步,,,人教版七下,2,,,人教版 7年级下册,七年级
take a walk,,散步；走一走,,,人教版七下,2,,,人教版 7年级下册,七年级
