text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
ruler,'rulɚ,尺子,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
pencil,'pɛnsl,铅笔,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
eraser,ɪ'resɚ,橡皮,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
crayon,kreən,蜡笔,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
bag,bæɡ,包,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
pen,pɛn,钢笔,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
pencil box,'pɛnsl bɑks,铅笔盒,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
book,bʊk,书,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
no,no,不,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
your,jʊər; jʊr,你（们）的,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
red,rɛd,红色；红色的,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
green,ɡrin,绿色；绿色的,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
yellow,ˈjɛlo,黄色；黄色的,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
blue,blu,蓝色；蓝色的,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
black,blæk,黑色；黑色的,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
brown,braʊn,棕色；棕色的,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
white,hwaɪt,白色；白色的,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
orange,'ɔrɪndʒ,橙色；橙色的,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
OK,,好；行,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
mum,mʌm,妈妈,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
face,fes,脸,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
ear,ɪr,耳朵,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
eye,aɪ,眼睛,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
nose,noz,鼻子,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
mouth,maʊθ,嘴,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
arm,ɑrm,胳膊,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
hand,hænd,手,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
head,hɛd,头,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
body,'bɑdi,身体,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
leg,lɛɡ,腿,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
foot,fʊt,脚,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
school,skul,学校,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
duck,dʌk,鸭子,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
pig,pɪɡ,猪,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
cat,kæt,猫,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
bear,bɛr,熊,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
dog,dɔɡ,狗,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
elephant,ˈɛləfənt,大象,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
monkey,'mʌŋki,猴子,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
bird,bɝd,鸟,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
tiger,'taɪɡɚ,老虎,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
panda,'pændə,大熊猫,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
zoo,zu,动物园,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
funny,'fʌni,滑稽的；好笑的,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
bread,brɛd,面包,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
juice,dʒus,果汁,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
egg,ɛɡ,蛋,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
milk,mɪlk,牛奶,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
water,ˈwɔtɚ,水,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
cake,kek,蛋糕,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
fish,fɪʃ,鱼,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
rice,raɪs,米饭,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
one,wʌn,一,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
two,tu,二,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
three,θri,三,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
four,fɔr,四,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
five,faɪv,五,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
six,sɪks,六,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
seven,'sɛvn,七,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
eight,et,八,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
nine,naɪn,九,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
ten,tɛn,十,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
brother,'brʌðɚ,兄；弟,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
plate,pleɪt,盘子,,,人教版三上,1,,,人教版PEP 三年级上册,三年级
