text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
UK,,英国,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
Canada,'kænədə,加拿大,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
USA,,美国,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
China,ˈtʃaɪnə,中国,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
she,ʃi,她；（指雌性动物）它,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
student,'studnt,学生， 学者,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
pupil,pjupl,小学生,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
he,hi,他；它（指雄性动物）,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
teacher,'titʃɚ,教师， 老师， 导师,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
boy,bɔɪ,男孩， 儿子， 孩子气的人， 男仆,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
and,ənd， ən，ænd,和,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
girl,ɡɝl,女孩， 少女， 女仆， (商店等的)女工作人员,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
new,nu,新的，新近的；新来的；不熟悉的,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
friend,frɛnd,朋友，友人；支持者，同情者,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
today,tə'de,今天；现在，目前,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
father,'fɑðɚ,父亲；爸爸,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
dad,dæd,（口语）爸爸；爹爹,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
man,mæn,男人,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
woman,'wʊmən,女人,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
mother,'mʌðɚ,母亲；妈妈,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
sister,'sɪstɚ,姐；妹,,,人教版三下,1,,,人教版PEP 三年级下册,三年级
