text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
textbook,'tɛkstbʊk,教科书；课本,,,人教版九上,2,,,人教版 9年级上册,九年级
conversation,，kɑnvɚ'seʃən,交谈；谈话,,,人教版九上,2,,,人教版 9年级上册,九年级
aloud,ə'laʊd,大声地；出声地,,,人教版九上,2,,,人教版 9年级上册,九年级
pronunciation,prə，nʌnsɪ'eʃən,发音；读音,,,人教版九上,2,,,人教版 9年级上册,九年级
sentence,'sɛntəns,句子,,,人教版九上,2,,,人教版 9年级上册,九年级
patient,ˈpeʃənt,有耐心的；病人,,,人教版九上,2,,,人教版 9年级上册,九年级
expression,ɪk'sprɛʃən,表达（方式）；表示,,,人教版九上,2,,,人教版 9年级上册,九年级
discover,dɪ'skʌvɚ,发现,,,人教版九上,2,,,人教版 9年级上册,九年级
secret,'sikrɪt,秘密；秘诀；秘密的；保密的,,,人教版九上,2,,,人教版 9年级上册,九年级
fall in love with,,爱上；与...相爱,,,人教版九上,2,,,人教版 9年级上册,九年级
grammar,'græmɚ,语法,,,人教版九上,2,,,人教版 9年级上册,九年级
repeat,rɪ'pit,重复；重说；重写；重做,,,人教版九上,2,,,人教版 9年级上册,九年级
note,not,笔记；记录；注意；指出,,,人教版九上,2,,,人教版 9年级上册,九年级
pal,pæl,朋友；伙伴,,,人教版九上,2,,,人教版 9年级上册,九年级
pattern,'pætɚn,模式；方式,,,人教版九上,2,,,人教版 9年级上册,九年级
physics,'fɪzɪks,物理；物理学,,,人教版九上,2,,,人教版 9年级上册,九年级
chemistry,'kɛmɪstri,化学,,,人教版九上,2,,,人教版 9年级上册,九年级
partner,'pɑrtnɚ,搭档；同伴,,,人教版九上,2,,,人教版 9年级上册,九年级
pronounce,prə'naʊns,发音,,,人教版九上,2,,,人教版 9年级上册,九年级
increase,'ɪnkris,增加；增长,,,人教版九上,2,,,人教版 9年级上册,九年级
speed,spid,速度,,,人教版九上,2,,,人教版 9年级上册,九年级
ability,əˈbɪlətɪ,能力；才能,,,人教版九上,2,,,人教版 9年级上册,九年级
brain,bren,大脑,,,人教版九上,2,,,人教版 9年级上册,九年级
active,'æktɪv,活跃的；积极的,,,人教版九上,2,,,人教版 9年级上册,九年级
attention,ə'tɛnʃən,注意；关注,,,人教版九上,2,,,人教版 9年级上册,九年级
pay attention to,,注意；关注,,,人教版九上,2,,,人教版 9年级上册,九年级
connect,kə'nɛkt,（使）连接；与...有联系,,,人教版九上,2,,,人教版 9年级上册,九年级
connect ... with,,把...和...连接或联系起来,,,人教版九上,2,,,人教版 9年级上册,九年级
overnight,'ovənaɪt,一夜之间；在夜间,,,人教版九上,2,,,人教版 9年级上册,九年级
review,rɪ'vju,回顾；复习；回顾,,,人教版九上,2,,,人教版 9年级上册,九年级
knowledge,'nɑlɪdʒ,知识；学问,,,人教版九上,2,,,人教版 9年级上册,九年级
wisely,'waɪzli,明智地；聪明地,,,人教版九上,2,,,人教版 9年级上册,九年级
Annie,,安妮（女名）,,,人教版九上,2,,,人教版 9年级上册,九年级
Alexander Graham Bell,,亚历山大 • 格雷厄姆 • 贝尔,,,人教版九上,2,,,人教版 9年级上册,九年级
lantern,'læntɚn,灯笼,,,人教版九上,2,,,人教版 9年级上册,九年级
