text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
old,old,老的,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
young,jʌŋ,年轻的,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
funny,'fʌni,滑稽的,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
kind,kaɪnd,体贴的,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
strict,strɪkt,严厉的,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
polite,pə'laɪt,有礼貌的,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
hard-working,ˈhɑːdˈwɜːkɪŋ,努力的,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
helpful,'hɛlpfl,有用的,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
clever,'klɛvɚ,聪明的,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
shy,ʃaɪ,羞怯的,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
know,no,知道,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
our,aʊr,我们的,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
Ms,,女士,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
will,wɪl,将要,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
sometimes,'sʌmtaɪmz,有时,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
robot,'robɑt,机器人,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
him,hɪm,他,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
speak,spik,会说,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
finish,'fɪnɪʃ,完成,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
Monday,ˈmʌnde; ˈmʌndɪ,星期一,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
Tuesday,ˈtuzdɪ;-de,星期二,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
Wednesday,ˈwɛnzdɪ,星期三,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
Thursday,ˈθɝzde; ˈθɝzdɪ,星期四,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
Friday,ˈfraɪdeɪ,星期五,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
Saturday,sætɚdɪ; -de,星期六,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
Sunday,ˈsʌnde; ˈsʌndi,星期日,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
weekend,ˈwikend,周末,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
wash,wɔʃ,洗,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
wash my clothes,,洗我的衣服,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
watch,wɑtʃ,看,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
watch TV,,看电视,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
do,du,做,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
do homework,,做作业,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
read,rid; rɛd,看,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
read books,,看书,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
play,ple,玩,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
play football,,踢足球,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
cooking,'kʊkɪŋ,烹饪,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
often,ˈɔ:fn; ɔfən,时常,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
park,pɑrk,公园,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
tired,ˈtaɪrd,疲倦的,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
sport,spɔrt,体育运动,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
play sports,,做体育运动,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
should,ʃəd; strong form ʃʊd,应该,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
every,'ɛvri,每一个,,,人教版五上,1,,,人教版PEP 五年级上册,五年级
