text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
eat breakfast,it brɛkfəst,吃早饭,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
have...class,,上⋯⋯课,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
play sports,,进行体育运动,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
exercise,'ɛksɚsaɪz,练习；运动；运用,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
do morning exercise,,做早操,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
eat dinner,,吃晚饭,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
clean my room,,打扫我的房间,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
go for a walk,,散步,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
go shopping,,购物,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
take,tek,上（课）,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
dancing,'dænsɪŋ,跳舞,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
take a dancing class,,上舞蹈课,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
when,hwen; hwɛn,什么时候,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
after,'æftɚ,在⋯⋯之后,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
start,stɑrt,开始,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
usually,juʒəlɪ,通常地,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
Spain,spen,西班牙,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
late,let,晚,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
a.m.,,上午,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
p.m.,,下午,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
why,hwaɪ,为什么,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
shop,ʃɑp,购物,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
work,wɝk,工作,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
last,læst,上一个的,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
sound,saʊnd,听起来好像,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
also,'ɔlso,还,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
busy,ˈbɪzɪ,忙的,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
need,nid,需要,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
play,ple,戏剧,,,人教版五下,1,,,人教版PEP 五年级下册,五年级
