text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
anyone,'ɛnɪ'wʌn,任何人,,,人教版八上,2,,,人教版 8年级上册,八年级
anywhere,'ɛnɪwɛr,任何地方；任何(一个)地方,,,人教版八上,2,,,人教版 8年级上册,八年级
wonderful,ˈwʌndɚfəl,精彩的；极好的,,,人教版八上,2,,,人教版 8年级上册,八年级
few,fju,很少的；；少量,,,人教版八上,2,,,人教版 8年级上册,八年级
quite a few,,相当多；不少(后接可数名词),,,人教版八上,2,,,人教版 8年级上册,八年级
most,most,最多的；大多数的,,,人教版八上,2,,,人教版 8年级上册,八年级
something,'sʌmθɪŋ,某事物,,,人教版八上,2,,,人教版 8年级上册,八年级
nothing,'nʌθɪŋ,没有什么；没有,,,人教版八上,2,,,人教版 8年级上册,八年级
everyone,'ɛvrɪwʌn,每人；人人,,,人教版八上,2,,,人教版 8年级上册,八年级
of course,,当然,,,人教版八上,2,,,人教版 8年级上册,八年级
myself,maɪ'sɛlf,我自己,,,人教版八上,2,,,人教版 8年级上册,八年级
yourself,jɔr'sɛlf,你自己；你亲自,,,人教版八上,2,,,人教版 8年级上册,八年级
hen,hɛn,母鸡；雌禽,,,人教版八上,2,,,人教版 8年级上册,八年级
pig,pɪɡ,猪,,,人教版八上,2,,,人教版 8年级上册,八年级
seem,sim,似乎；好像,,,人教版八上,2,,,人教版 8年级上册,八年级
bored,bɔrd,无聊的；厌烦的；郁闷的,,,人教版八上,2,,,人教版 8年级上册,八年级
someone,'sʌmwʌn,某人；有人,,,人教版八上,2,,,人教版 8年级上册,八年级
diary,'daɪəri,日记；日记簿,,,人教版八上,2,,,人教版 8年级上册,八年级
activity,ækˈtɪvətɪ,活动；活跃,,,人教版八上,2,,,人教版 8年级上册,八年级
decide,dɪ'saɪd,决定；选定(decide to do sth),,,人教版八上,2,,,人教版 8年级上册,八年级
try,traɪ,尝试；设法；努力  (try to do sth /try doing sth),,,人教版八上,2,,,人教版 8年级上册,八年级
paragliding,,空中滑翔跳伞,,,人教版八上,2,,,人教版 8年级上册,八年级
feel like(doing sth.),,想要,,,人教版八上,2,,,人教版 8年级上册,八年级
bird,bɝd,鸟；禽,,,人教版八上,2,,,人教版 8年级上册,八年级
bicycle,'baɪsɪkl,自行车,,,人教版八上,2,,,人教版 8年级上册,八年级
building,'bɪldɪŋ,建筑物,,,人教版八上,2,,,人教版 8年级上册,八年级
trader,'tredɚ,商人,,,人教版八上,2,,,人教版 8年级上册,八年级
wonder,'wʌndɚ,想知道；惊奇；怀疑,,,人教版八上,2,,,人教版 8年级上册,八年级
difference,'dɪfrəns,差异；不同,,,人教版八上,2,,,人教版 8年级上册,八年级
top,tɑp,顶部；顶,,,人教版八上,2,,,人教版 8年级上册,八年级
wait,wet,等；等待(wait for),,,人教版八上,2,,,人教版 8年级上册,八年级
umbrella,ʌm'brɛlə,伞；雨伞,,,人教版八上,2,,,人教版 8年级上册,八年级
wet,wɛt,湿的；雨天的；雨天的,,,人教版八上,2,,,人教版 8年级上册,八年级
because of,,因为；由于,,,人教版八上,2,,,人教版 8年级上册,八年级
below,bɪ'lo,低于；在...下面；在...下面,,,人教版八上,2,,,人教版 8年级上册,八年级
enough,ɪ'nʌf,足够的；足够地；充分地,,,人教版八上,2,,,人教版 8年级上册,八年级
hungry,ˈhʌŋgrɪ,(反full)饥饿的；渴望的,,,人教版八上,2,,,人教版 8年级上册,八年级
as,æz; əz,如同；像一样,,,人教版八上,2,,,人教版 8年级上册,八年级
hill,hɪl,小山；丘陵；山冈；斜坡,,,人教版八上,2,,,人教版 8年级上册,八年级
duck,dʌk,鸭；鸭肉,,,人教版八上,2,,,人教版 8年级上册,八年级
dislike,dɪs'laɪk,不喜欢；厌恶；不喜爱；厌恶；反感,,,人教版八上,2,,,人教版 8年级上册,八年级
have a good time,,等于enjoy oneself/have fun(doing sth)玩得痛快,,,人教版八上,2,,,人教版 8年级上册,八年级
Central Park,,中央公园,,,人教版八上,2,,,人教版 8年级上册,八年级
Huangguoshu waterfall,,黄果树瀑布,,,人教版八上,2,,,人教版 8年级上册,八年级
Hong Kong,,香港,,,人教版八上,2,,,人教版 8年级上册,八年级
Malaysia,mə'leʒə,马来西亚,,,人教版八上,2,,,人教版 8年级上册,八年级
Georgetown,'dʒɔdʒtaun,乔治城（圭亚那首都）,,,人教版八上,2,,,人教版 8年级上册,八年级
Weld Quay,,海乾街/码头， 位于马来西亚槟城岛(州),,,人教版八上,2,,,人教版 8年级上册,八年级
Penang Hill,,马来西亚槟榔山（升旗山）,,,人教版八上,2,,,人教版 8年级上册,八年级
tian'anmen square,,天安门广场,,,人教版八上,2,,,人教版 8年级上册,八年级
the Palace Museum,,故宫博物院,,,人教版八上,2,,,人教版 8年级上册,八年级
housework,'haʊs'wɝk,家务劳动,,,人教版八上,2,,,人教版 8年级上册,八年级
hardly,'hɑrdli,几乎不；简直不；刚刚,,,人教版八上,2,,,人教版 8年级上册,八年级
ever,'ɛvɚ,在任何时候,,,人教版八上,2,,,人教版 8年级上册,八年级
hardly ever,,很少；几乎从不；难得,,,人教版八上,2,,,人教版 8年级上册,八年级
once,wʌns,一次；曾经,,,人教版八上,2,,,人教版 8年级上册,八年级
twice,twaɪs,两次；两倍,,,人教版八上,2,,,人教版 8年级上册,八年级
Internet,'ɪntɚnɛt,因特网,,,人教版八上,2,,,人教版 8年级上册,八年级
program,'proɡræm,程序；节目；节目单；课程,,,人教版八上,2,,,人教版 8年级上册,八年级
full,fʊl,满的；充满的；完全的,,,人教版八上,2,,,人教版 8年级上册,八年级
swing,swɪŋ,摇摆；秋千；摇摆；旋转,,,人教版八上,2,,,人教版 8年级上册,八年级
swing dance,,摇摆舞,,,人教版八上,2,,,人教版 8年级上册,八年级
maybe,'mebi,或许；也许；可能,,,人教版八上,2,,,人教版 8年级上册,八年级
least,list,最小的；最少的,,,人教版八上,2,,,人教版 8年级上册,八年级
at least,,至少,,,人教版八上,2,,,人教版 8年级上册,八年级
junk,dʒʌŋk,垃圾；废旧杂物,,,人教版八上,2,,,人教版 8年级上册,八年级
junk food,,垃圾食品；无营养食品,,,人教版八上,2,,,人教版 8年级上册,八年级
coffee,'kɔfi,咖啡；咖啡色,,,人教版八上,2,,,人教版 8年级上册,八年级
health,hɛlθ,健康；人的身体或精神状态,,,人教版八上,2,,,人教版 8年级上册,八年级
result,rɪ'zʌlt,结果；后果,,,人教版八上,2,,,人教版 8年级上册,八年级
percent,pɚ'sɛnt,百分之百的,,,人教版八上,2,,,人教版 8年级上册,八年级
online,'ɑn'laɪn,在线的；在线地,,,人教版八上,2,,,人教版 8年级上册,八年级
television,tɛləˌvɪʒən,电视机；电视节目,,,人教版八上,2,,,人教版 8年级上册,八年级
although,ɔl'ðo,虽然；尽管；然而；可是,,,人教版八上,2,,,人教版 8年级上册,八年级
through,θru,穿过；一直到；凭借,,,人教版八上,2,,,人教版 8年级上册,八年级
mind,maɪnd,头脑；想法；意见；心思,,,人教版八上,2,,,人教版 8年级上册,八年级
body,'bɑdi,身体,,,人教版八上,2,,,人教版 8年级上册,八年级
such,sʌtʃ,这样的；如此的,,,人教版八上,2,,,人教版 8年级上册,八年级
