text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
matter,'mætɚ,重要，要紧，有关系,,,人教版八下,2,,,人教版 8年级下册,八年级
What's the matter?,,怎么了？出什么事了？,,,人教版八下,2,,,人教版 8年级下册,八年级
sore,sɔr,疼痛的，酸痛的,,,人教版八下,2,,,人教版 8年级下册,八年级
have a cold,,感冒,,,人教版八下,2,,,人教版 8年级下册,八年级
stomach,'stʌmək,胃；腹部,,,人教版八下,2,,,人教版 8年级下册,八年级
stomachache,'stʌmək，ek,胃痛，腹痛,,,人教版八下,2,,,人教版 8年级下册,八年级
have a stomachache,,胃痛,,,人教版八下,2,,,人教版 8年级下册,八年级
foot,fʊt,脚(复数feet),,,人教版八下,2,,,人教版 8年级下册,八年级
neck,nɛk,颈，脖子,,,人教版八下,2,,,人教版 8年级下册,八年级
throat,θrot,喉咙,,,人教版八下,2,,,人教版 8年级下册,八年级
fever,'fivɚ,发烧，发热,,,人教版八下,2,,,人教版 8年级下册,八年级
lie,laɪ,躺，平躺,,,人教版八下,2,,,人教版 8年级下册,八年级
lie down,,躺下,,,人教版八下,2,,,人教版 8年级下册,八年级
rest,rɛst,放松，休息；剩余部分，其余,,,人教版八下,2,,,人教版 8年级下册,八年级
cough,kɔf,咳嗽；咳嗽,,,人教版八下,2,,,人教版 8年级下册,八年级
X-ray,'eksreɪ,X光，X射线,,,人教版八下,2,,,人教版 8年级下册,八年级
toothache,'tuθek,牙痛,,,人教版八下,2,,,人教版 8年级下册,八年级
take one's temperature,,量体温,,,人教版八下,2,,,人教版 8年级下册,八年级
headache,ˈhɛdˌek,头痛,,,人教版八下,2,,,人教版 8年级下册,八年级
have a fever,,发烧,,,人教版八下,2,,,人教版 8年级下册,八年级
break,brek,打破；休息；中断,,,人教版八下,2,,,人教版 8年级下册,八年级
take breaks,,休息(take a break）,,,人教版八下,2,,,人教版 8年级下册,八年级
