text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
science,'saɪəns,科学,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
museum,mjuˈzɪəm,博物馆,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
post office,ˈpost ɔfɪs,邮局,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
bookstore,bʊkstɔr,书店,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
cinema,'sɪnəmə,电影院,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
hospital,'hɑspɪtl,医院,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
crossing,'krɔsɪŋ,十字路口,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
turn,tɝn,转弯,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
left,lɛft,左,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
on foot,,步行,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
by,baɪ,乘,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
bus,bʌs,公共汽车,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
plane,plen,飞机,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
taxi,'tæksi,出租汽车,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
ship,ʃɪp,船,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
subway,'sʌbwe,地铁,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
train,tren,火车,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
slow,sloʊ,慢的,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
down,daʊn,减少,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
slow down,,慢下来,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
stop,stɑp,停下,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
Mrs,ˈmɪsɪz,夫人,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
early,'ɝli,早到的,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
helmet,'hɛlmɪt,头盔,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
must,mʌst,必须,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
wear,wɛr,戴,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
attention,ə'tɛnʃən,注意,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
pay attention to,,注意,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
traffic,'træfɪk,交通,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
traffic lights,,交通信号灯,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
Munich,'mju:nik,慕尼黑,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
Germany,'dʒɝməni,德国,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
Alaska,ə'læskə,阿拉斯加州,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
sled,slɛd,雪橇,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
fast,fæst,快的,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
ferry,'fɛri,轮渡,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
Papa Westray,,帕帕韦斯特雷岛,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
Scotland,'skɔtlənd,苏格兰,,,人教版六上,1,,,人教版PEP 六年级上册,六年级
