text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
younger,'jʌŋɡɚ,更年轻的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
older,oldə,更年长的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
taller,'tɔlɚ,更高的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
shorter,,更矮的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
longer,'lɔŋɡɚ,更长的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
thinner,'θɪnɚ,更瘦的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
heavier,'hɛvɪɚðən'ɛr,更重的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
bigger,bɪgə(r),更大的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
smaller,smɔlər,更小的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
stronger,strɔ:ŋɡər,更强壮的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
dinosaur,ˈdaɪnəˌsɔr,恐龙,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
hall,hɔl,大厅,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
metre,ˈmitɚ,米,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
meter,mitɚ,米,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
than,ðæn,比,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
both,boθ,两个都,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
kilogram,'kɪləɡræm,千克,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
countryside,'kʌntrɪsaɪd,乡村,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
lower,'loɚ,更低地,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
shadow,'ʃædo,影子,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
smarter,'smɑ:tə,更聪明的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
become,bɪ'kʌm,变成,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
cleaned,klind,打扫,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
stayed,,待,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
washed,wɔʃt,洗,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
watched,wɑtʃ,看,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
had,hæd,得病（例如 had a cold 得了感冒）,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
had a cold,,感冒,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
slept,slɛpt,睡觉,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
read,rid; rɛd,读,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
saw,sɔ,看,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
last,læst,最近,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
yesterday,ˈjɛstɚdɪ;-de,昨天,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
before,bɪ'fɔr,在⋯⋯之前,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
drank,dræŋk,喝,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
show,ʃo,演出,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
magazine,'mæɡəzin,杂志,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
better,'bɛtɚ,更好的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
faster,'fastə,更快的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
hotel,ho'tɛl,旅馆,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
fixed,fɪkst,修理,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
broken,'brokən,破损的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
lamp,læmp,台灯,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
loud,laʊd,大声的,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
enjoy,ɪn'dʒɔɪ,享受⋯⋯的乐趣,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
stay,ste,暂住,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
went,wɛnt,去,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
camp,kæmp,野营,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
went camping,,去野营,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
fish,fɪʃ,钓鱼,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
went fishing,,去钓鱼,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
rode,rod,骑,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
hurt,hɝ​t,受伤,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
ate,ɛt; et,吃,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
took,tʊk,拍照,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
took pictures,,照相,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
bought,bɔt,买,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
gift,ɡɪft,礼物,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
fell,fɛl,摔倒,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
off,ɔf,落下,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
Labour Day,,劳动节,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
mule,mjul,骡子,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
Turpan,,吐鲁番,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
could,kəd; kʊd,能,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
till,tɪl,直到,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
beach,bitʃ,沙滩,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
basket,'bæskɪt,篮子,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
part,pɑrt,角色,,,人教版六下,1,,,人教版PEP 六年级下册,六年级
