text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
classroom,'klæsrʊm,教室,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
window,'wɪndo,窗户,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
blackboard,'blækbɔrd,黑板,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
light,laɪt,电灯,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
picture,'pɪktʃɚ,图画,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
door,dɔr,门,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
teacher's desk,,讲台,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
computer,kəm'pjutɚ,计算机,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
fan,fæn,风扇,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
wall,wɔl,墙壁,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
floor,flɔr,地板,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
really,ˈriəˌli， ˈrili,真的,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
near,nɪr,距离近,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
TV,ˌti vi,电视,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
clean,klin,打扫,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
help,hɛlp,帮助,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
schoolbag,ˈskulˌbæɡ,书包,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
maths book,,数学书,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
English book,,英语书,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
Chinese book,,语文书,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
storybook,'stɔrɪ'bʊk,故事书,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
candy,ˈkændɪ,糖果,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
notebook,'notbʊk,笔记本,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
toy,tɔɪ,玩具,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
key,kiː,钥匙,,,人教版四上,1,,,人教版PEP 四年级上册,四年级
