text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
first floor,,一楼（美）；二楼（英）,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
second floor,,二楼,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
teacher's office,,教师办公室,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
library,laɪˌbrɛrɪ,图书馆,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
playground,'ple'graʊnd,操场,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
computer room,,计算机房,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
art room,,美术教室,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
music room,,音乐教室,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
next to,,紧邻,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
homework,'hom'wɝk,作业,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
class,klæs,班级,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
forty,'fɔrti,四十,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
way,we,方向,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
breakfast,'brɛkfəst,早餐,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
English class,,英语课,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
lunch,lʌntʃ,午饭,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
music class,,音乐课,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
PE class,,体育课,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
dinner,'dɪnɚ,正餐,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
get up,,起床,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
go to school,,上学,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
go home,,回家,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
go to bed,,去睡觉,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
over,'ovɚ,结束,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
now,naʊ,现在,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
o'clock,ə'klɑk,⋯⋯点钟,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
kid,kɪd,小孩,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
thirty,'θɝti,三十,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
hurry up,'hɝrɪ ʌp,快点,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
come on,,加油,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
just a minute,,稍等一会儿,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
cold,kold,冷的,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
cool,kul,凉的,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
warm,wɔrm,温暖的,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
hot,hɑt,热的,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
sunny,'sʌni,阳光充足的,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
windy,'wɪndi,多风的,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
cloudy,'klaʊdi,多云的,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
snowy,'snoɪ,下雪的,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
rainy,'reni,阴雨的,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
outside,，aʊt'saɪd,在户外,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
be careful,,小心,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
weather,'wɛðɚ,天气,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
New York,,纽约,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
how about...,,怎么样？,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
degree,dɪ'ɡri,度,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
world,wɝld,世界,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
London,ˈlʌndən,伦敦,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
Moscow,ˈmɑsˌkaʊ,莫斯科,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
Singapore,ˌsɪŋgə'pɔ:,新加坡城,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
Sydney,'sɪdnɪ,悉尼,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
fly,flaɪ,放（风筝）,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
love,lʌv,爱你的,,,人教版四下,1,,,人教版PEP 四年级下册,四年级
