text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
characteristic,，kærəktə'rɪstɪk,特征；特性,,,人教版高中必修5,3,,,人教版 高中必修5,高中
radium,'redɪəm,镭,,,人教版高中必修5,3,,,人教版 高中必修5,高中
painter,'pentɚ,画家；油漆匠,,,人教版高中必修5,3,,,人教版 高中必修5,高中
put forward,,提出,,,人教版高中必修5,3,,,人教版 高中必修5,高中
scientific,，saɪən'tɪfɪk,科学的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
conclude,kən'klud,推断出；结束,,,人教版高中必修5,3,,,人教版 高中必修5,高中
conclusion,kən'kluʒn,结论；结束,,,人教版高中必修5,3,,,人教版 高中必修5,高中
draw a conclusion,,提出结论,,,人教版高中必修5,3,,,人教版 高中必修5,高中
analyse,'æn(ə)laɪz,分析,,,人教版高中必修5,3,,,人教版 高中必修5,高中
infect,ɪn'fɛkt,传染；感染,,,人教版高中必修5,3,,,人教版 高中必修5,高中
infectious,ɪn'fɛkʃəs,传染的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
cholera,'kɑlərə,霍乱,,,人教版高中必修5,3,,,人教版 高中必修5,高中
defeat,dɪ'fit,打败；战胜；使受挫；失败,,,人教版高中必修5,3,,,人教版 高中必修5,高中
expert,'ɛkspɝt; (for adj.， also) ɛksˈpɝt ; ɪkˈspɝt,内行的；专家；行家,,,人教版高中必修5,3,,,人教版 高中必修5,高中
attend,ə'tɛnd,参加; 出席；照顾；护理,,,人教版高中必修5,3,,,人教版 高中必修5,高中
physician,fɪ'zɪʃən,医生；内科医师,,,人教版高中必修5,3,,,人教版 高中必修5,高中
expose,ɪk'spoz；ek-,暴露；揭露；使曝光,,,人教版高中必修5,3,,,人教版 高中必修5,高中
expose...to,,使显露；暴露,,,人教版高中必修5,3,,,人教版 高中必修5,高中
deadly,'dɛdli,致命的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
cure,kjʊr,治愈；痊愈；治愈；治疗,,,人教版高中必修5,3,,,人教版 高中必修5,高中
outbreak,'aʊtbrek,爆发；发作（尤指疾病或战争）,,,人教版高中必修5,3,,,人教版 高中必修5,高中
challenge,'tʃælɪndʒ,挑战；向……挑战,,,人教版高中必修5,3,,,人教版 高中必修5,高中
victim,'vɪktɪm,受害者,,,人教版高中必修5,3,,,人教版 高中必修5,高中
absorb,æbˈsɔrb; æbˈzɔrb; əbˈsɔrb,吸收；吸引；使专心,,,人教版高中必修5,3,,,人教版 高中必修5,高中
suspect,sʌspɛkt; (for v.) səˈspɛkt,怀疑；被怀疑者；嫌疑犯,,,人教版高中必修5,3,,,人教版 高中必修5,高中
enquiry,ɛnˈkwaɪri， ˈɛnkwəri,询问,,,人教版高中必修5,3,,,人教版 高中必修5,高中
neighbourhood,nebɚˌhʊd,附近(的居民)；邻近(的居民),,,人教版高中必修5,3,,,人教版 高中必修5,高中
severe,səˈvɪr,严重的；严厉的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
clue,klʊ,线索；提示,,,人教版高中必修5,3,,,人教版 高中必修5,高中
pump,pʌmp,泵；抽水机；（用泵）抽（水）,,,人教版高中必修5,3,,,人教版 高中必修5,高中
Cambridge,ˈkembrɪdʒ,剑桥大学,,,人教版高中必修5,3,,,人教版 高中必修5,高中
foresee,fɔr'si,预见；预知,,,人教版高中必修5,3,,,人教版 高中必修5,高中
investigate,ɪn'vɛstɪɡet,调查,,,人教版高中必修5,3,,,人教版 高中必修5,高中
investigation,ɪn，vɛstɪ'ɡeʃən,调查,,,人教版高中必修5,3,,,人教版 高中必修5,高中
blame,blem,责备；谴责；过失；责备,,,人教版高中必修5,3,,,人教版 高中必修5,高中
pollute,pə'lut,污染；弄脏,,,人教版高中必修5,3,,,人教版 高中必修5,高中
handle,'hændl,柄；把手；处理；操纵,,,人教版高中必修5,3,,,人教版 高中必修5,高中
germ,dʒɝm,微生物；细菌,,,人教版高中必修5,3,,,人教版 高中必修5,高中
link,lɪŋk,连接；联系；连接；联系,,,人教版高中必修5,3,,,人教版 高中必修5,高中
link...to...,,将……和……联系或连接起来,,,人教版高中必修5,3,,,人教版 高中必修5,高中
announce,ə'naʊns,宣布；通知,,,人教版高中必修5,3,,,人教版 高中必修5,高中
certainty,'sɝtnti,确实,,,人教版高中必修5,3,,,人教版 高中必修5,高中
instruct,ɪn'strʌkt,命令；指示；教导,,,人教版高中必修5,3,,,人教版 高中必修5,高中
responsible,rɪ'spɑnsəbl,有责任的；负责的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
construct,kən'strʌkt,建设；修建,,,人教版高中必修5,3,,,人教版 高中必修5,高中
construction,kən'strʌkʃən,建造，建筑,,,人教版高中必修5,3,,,人教版 高中必修5,高中
contribute,kən'trɪbjut,捐献；贡献；捐助,,,人教版高中必修5,3,,,人教版 高中必修5,高中
apart from,,除……之外；此外,,,人教版高中必修5,3,,,人教版 高中必修5,高中
firework,'faɪɚwɝk,烟火,,,人教版高中必修5,3,,,人教版 高中必修5,高中
chart,tʃɑrt,图表,,,人教版高中必修5,3,,,人教版 高中必修5,高中
creative,krɪ'etɪv,创造性的；有创造力的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
co-operative,kəu'ɔpərətiv,合作的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
positive,'pɑzətɪv,积极的；肯定的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
(be)strict with...,,对……严格的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
Nicolaus Copernicus,,尼古拉•哥白尼（波兰天文学家）,,,人教版高中必修5,3,,,人教版 高中必修5,高中
revolutionary,'rɛvə'lʊʃə'nɛri,革命的；重大变革的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
movement,'muvmənt,移动；运动；动作,,,人教版高中必修5,3,,,人教版 高中必修5,高中
make sense,,讲得通；有意义,,,人教版高中必修5,3,,,人教版 高中必修5,高中
backward,'bækwɚd,向后的；相反的；退步的；向后地；相反地；退步地,,,人教版高中必修5,3,,,人教版 高中必修5,高中
loop,lup,圈；环,,,人教版高中必修5,3,,,人教版 高中必修5,高中
privately,'praɪvɪtli,私下地,,,人教版高中必修5,3,,,人教版 高中必修5,高中
spin,spɪn,(使)旋转；纺（线或纱）,,,人教版高中必修5,3,,,人教版 高中必修5,高中
brightness,'braɪtnɪs,明亮；亮度；聪颖,,,人教版高中必修5,3,,,人教版 高中必修5,高中
enthusiastic,ɪn，θuzɪ'æstɪk,热情的；热心的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
cautious,'kɔʃəs,小心的；谨慎的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
reject,rɪ'dʒɛkt,拒绝；不接受,,,人教版高中必修5,3,,,人教版 高中必修5,高中
universe,'junɪvɝs,宇宙；世界,,,人教版高中必修5,3,,,人教版 高中必修5,高中
unite,ju'naɪt,联合；团结,,,人教版高中必修5,3,,,人教版 高中必修5,高中
kingdom,'kɪŋdəm,王国,,,人教版高中必修5,3,,,人教版 高中必修5,高中
consist,kən'sɪst,组成；在于,,,人教版高中必修5,3,,,人教版 高中必修5,高中
consist of,,由……组成,,,人教版高中必修5,3,,,人教版 高中必修5,高中
London Heathrow Airport,,伦敦希思罗机场,,,人教版高中必修5,3,,,人教版 高中必修5,高中
province,'prɑvɪns,省；行政区,,,人教版高中必修5,3,,,人教版 高中必修5,高中
River Avon,,埃文河,,,人教版高中必修5,3,,,人教版 高中必修5,高中
River Thames,,泰晤士河,,,人教版高中必修5,3,,,人教版 高中必修5,高中
River Severn,,塞文河,,,人教版高中必修5,3,,,人教版 高中必修5,高中
divide...into,,把……分成,,,人教版高中必修5,3,,,人教版 高中必修5,高中
Wales,weilz,威尔士（英）,,,人教版高中必修5,3,,,人教版 高中必修5,高中
Scotland,'skɔtlənd,苏格兰（英）,,,人教版高中必修5,3,,,人教版 高中必修5,高中
Northern Ireland,,北爱尔兰（英）,,,人教版高中必修5,3,,,人教版 高中必修5,高中
clarify,'klærəfaɪ,澄清；阐明,,,人教版高中必修5,3,,,人教版 高中必修5,高中
accomplish,ə'kɑmplɪʃ,完成；达到；实现,,,人教版高中必修5,3,,,人教版 高中必修5,高中
conflict,'kɑnflɪkt,矛盾；冲突,,,人教版高中必修5,3,,,人教版 高中必修5,高中
unwilling,ʌn'wɪlɪŋ,不愿意（的）；不乐意（的）,,,人教版高中必修5,3,,,人教版 高中必修5,高中
break away,,挣脱（束缚）；脱离,,,人教版高中必修5,3,,,人教版 高中必修5,高中
break away from,,挣脱（束缚）；脱离,,,人教版高中必修5,3,,,人教版 高中必修5,高中
union,'junɪən,工会；；联盟；协会；联合,,,人教版高中必修5,3,,,人教版 高中必修5,高中
the Union Jack,,英国国旗,,,人教版高中必修5,3,,,人教版 高中必修5,高中
credit,'krɛdɪt,赊购；信贷；赞扬；信任；学分,,,人教版高中必修5,3,,,人教版 高中必修5,高中
to one's credit,,为……带来荣誉；值得赞扬；在……名下,,,人教版高中必修5,3,,,人教版 高中必修5,高中
currency,ˈkɜrənsi,货币；通货,,,人教版高中必修5,3,,,人教版 高中必修5,高中
institution,，ɪnstɪ'tuʃən,社会公共机构；制度；设立，制定,,,人教版高中必修5,3,,,人教版 高中必修5,高中
educational,，ɛdʒu'keʃənl,教育的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
convenience,kən'vinɪəns,便利；方便,,,人教版高中必修5,3,,,人教版 高中必修5,高中
rough,rʌf,粗糙的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
roughly,'rʌfli,粗略地,,,人教版高中必修5,3,,,人教版 高中必修5,高中
Midlands,,英格兰中部地区（英）,,,人教版高中必修5,3,,,人教版 高中必修5,高中
nationwide,，neʃn'waɪd,全国性的；全国范围的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
attract,ə'trækt,吸引；引起注意,,,人教版高中必修5,3,,,人教版 高中必修5,高中
historical,hɪ'stɔrɪkl,有关历史的；历史（上）的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
architecture,'ɑrkə'tɛktʃɚ,建筑学；建筑艺术,,,人教版高中必修5,3,,,人教版 高中必修5,高中
Roman,'romən,(古)罗马人；（古）罗马的,,,人教版高中必修5,3,,,人教版 高中必修5,高中
collection,kə'lɛkʃən,收藏品,,,人教版高中必修5,3,,,人教版 高中必修5,高中
administration,əd，mɪnɪ'streʃən,管理；行政部门,,,人教版高中必修5,3,,,人教版 高中必修5,高中
port,pɔrt,港口（城市）,,,人教版高中必修5,3,,,人教版 高中必修5,高中
