text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
realistic,，riə'lɪstɪk,现实主义的；现实的；逼真的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
abstract,'æbstrækt,抽象的；深奥的；摘要,,,人教版高中选修6,3,,,人教版 高中选修6,高中
sculpture,'skʌlptʃɚ,雕塑,,,人教版高中选修6,3,,,人教版 高中选修6,高中
sculptor,'skʌlptɚ,雕刻家；雕塑家,,,人教版高中选修6,3,,,人教版 高中选修6,高中
gallery,'gæləri,美术陈列室；画廊,,,人教版高中选修6,3,,,人教版 高中选修6,高中
faith,feθ,信任；信心；信念,,,人教版高中选修6,3,,,人教版 高中选修6,高中
faithfully,'feθfəli,忠实地,,,人教版高中选修6,3,,,人教版 高中选修6,高中
consequently,'kɑnsəkwɛntli,所以；因而,,,人教版高中选修6,3,,,人教版 高中选修6,高中
aim,em,目标；目的；瞄准；（向某方向）努力,,,人教版高中选修6,3,,,人教版 高中选修6,高中
conventional,kən'vɛnʃənl,常规的；传统的；因循守旧的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
typical,'tɪpɪkl,典型的；有代表性的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
evident,'ɛvɪdənt,明显的；明白的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
Giotto di Bondone,,乔托（意大利画家、雕刻家、建筑师）,,,人教版高中选修6,3,,,人教版 高中选修6,高中
renaissance,ˈrenəsɑ:ns; ˌrɛnəˈsɑns,新生；复兴；复活,,,人教版高中选修6,3,,,人教版 高中选修6,高中
the Renaissance,,文艺复兴（时期）,,,人教版高中选修6,3,,,人教版 高中选修6,高中
adopt,ə'dɑpt,收养；采用；采纳,,,人教版高中选修6,3,,,人教版 高中选修6,高中
humanistic,，hjʊmən'ɪstɪk,人道主义的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
possess,pə'zɛs,拥有；具有；支配,,,人教版高中选修6,3,,,人教版 高中选修6,高中
possession,pə'zɛʃən,（尤作复数）所有；财产,,,人教版高中选修6,3,,,人教版 高中选修6,高中
superb,suːˈpɜːrb,卓越的；杰出的；极好的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
perspective,pɚ'spɛktɪv,观点；透视画法；透视图,,,人教版高中选修6,3,,,人教版 高中选修6,高中
technique,tɛk'nik,技术；方法；技能,,,人教版高中选修6,3,,,人教版 高中选修6,高中
Masaccio,mɑ:'sɑ:ttʃɔ:,马萨乔（意大利画家）,,,人教版高中选修6,3,,,人教版 高中选修6,高中
coincidence,ko'ɪnsɪdəns,巧合（的事）,,,人教版高中选修6,3,,,人教版 高中选修6,高中
by coincidence,,巧合地,,,人教版高中选修6,3,,,人教版 高中选修6,高中
masterpiece,'mæstəpis,杰作；名著,,,人教版高中选修6,3,,,人教版 高中选修6,高中
impressionism,ɪm'prɛʃən，ɪzəm,印象主义；印象派,,,人教版高中选修6,3,,,人教版 高中选修6,高中
impressionist,ɪm'prɛʃənɪst,印象派的；印象派艺术家,,,人教版高中选修6,3,,,人教版 高中选修6,高中
post-impressionist,,后印象派的；后印象派艺术家,,,人教版高中选修6,3,,,人教版 高中选修6,高中
a great deal,,大量,,,人教版高中选修6,3,,,人教版 高中选修6,高中
shadow,'ʃædo,影子；阴影,,,人教版高中选修6,3,,,人教版 高中选修6,高中
ridiculous,rɪ'dɪkjələs,荒谬的；可笑的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
controversial,，kɑntrə'vɝʃl,争论的；争议的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
attempt,ə'tɛmpt,尝试，试图；尝试，试图,,,人教版高中选修6,3,,,人教版 高中选修6,高中
on the other hand,,(可是)另一方面,,,人教版高中选修6,3,,,人教版 高中选修6,高中
predict,prɪ'dɪkt,预言；预告；预测,,,人教版高中选修6,3,,,人教版 高中选修6,高中
landscape,ˈlændskep,风景；景色,,,人教版高中选修6,3,,,人教版 高中选修6,高中
specific,spɪ'sɪfɪk,特定的；确切的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
figure,'fɪɡjɚ,数字；画像；身材,,,人教版高中选修6,3,,,人教版 高中选修6,高中
clay,kle,黏土,,,人教版高中选修6,3,,,人教版 高中选修6,高中
critic,'krɪtɪk,评论家；批评者,,,人教版高中选修6,3,,,人教版 高中选修6,高中
bronze,brɑnz,青铜,,,人教版高中选修6,3,,,人教版 高中选修6,高中
marble,'mɑrbl,大理石,,,人教版高中选修6,3,,,人教版 高中选修6,高中
Mona Lisa,,蒙娜•丽莎（达•芬奇所作的一幅著名肖像画）,,,人教版高中选修6,3,,,人教版 高中选修6,高中
Leonardo da Vinci,,列奥纳多•达•芬奇（意大利著名画家）,,,人教版高中选修6,3,,,人教版 高中选修6,高中
carve,kɑrv,雕刻；刻记,,,人教版高中选修6,3,,,人教版 高中选修6,高中
delicate,ˈdɛlɪkɪt,脆弱的；容易生病的；精致的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
Michelangelo,ˌmaɪkəlˈændʒəˌlo,米开朗基罗（意大利文艺复兴雕刻家、画家、建筑师和诗人）,,,人教版高中选修6,3,,,人教版 高中选修6,高中
canvas,'kænvəs,帆布；画布,,,人教版高中选修6,3,,,人教版 高中选修6,高中
Picasso,pi'kæsəu,毕加索（西班牙画家）,,,人教版高中选修6,3,,,人教版 高中选修6,高中
cafe,kə'fɛi,咖啡馆；小餐馆,,,人教版高中选修6,3,,,人教版 高中选修6,高中
allergic,ə'lɝdʒɪk,过敏性的；对……过敏的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
effectively,ɪ'fɛktɪvli,有效地,,,人教版高中选修6,3,,,人教版 高中选修6,高中
exhibition,ˌɛksəˈbɪʃən,展览；陈列；展览会,,,人教版高中选修6,3,,,人教版 高中选修6,高中
aggressive,ə'ɡrɛsɪv,敢作敢为的；侵略的；好斗的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
scholar,'skɑlɚ,学者,,,人教版高中选修6,3,,,人教版 高中选修6,高中
flesh,flɛʃ,肉,,,人教版高中选修6,3,,,人教版 高中选修6,高中
in the flesh,,本人,,,人教版高中选修6,3,,,人教版 高中选修6,高中
Matisse,,马蒂斯（法国画家）,,,人教版高中选修6,3,,,人教版 高中选修6,高中
geometry,dʒɪ'ɑmətri,几何学,,,人教版高中选修6,3,,,人教版 高中选修6,高中
bunch,bʌntʃ,束；串,,,人教版高中选修6,3,,,人教版 高中选修6,高中
Manhattan,mæn'hæt(ə)n,曼哈顿岛；曼哈顿区（纽约市中心）,,,人教版高中选修6,3,,,人教版 高中选修6,高中
avenue,'ævənu,道路；大街；林荫道,,,人教版高中选修6,3,,,人教版 高中选修6,高中
preference,'prɛfrəns,喜爱；偏爱,,,人教版高中选修6,3,,,人教版 高中选修6,高中
Guggenheim  Museum,,古根海姆博物馆,,,人教版高中选修6,3,,,人教版 高中选修6,高中
display,dɪ'sple,展示；陈列,,,人教版高中选修6,3,,,人教版 高中选修6,高中
appeal,ə'pil,呼吁；吸引；呼吁；恳请，恳求,,,人教版高中选修6,3,,,人教版 高中选修6,高中
appeal to,,（对某人）有吸引力；（使某人）感兴趣,,,人教版高中选修6,3,,,人教版 高中选修6,高中
fragile,'frædʒəl,精细的；易碎的；脆弱的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
circular,'sɝkjəlɚ,圆(形)的，环形的；循环的；环行的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
metropolitan,，mɛtrə'pɑlɪtən,主要都市的；大城市的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
reputation,，rɛpju'teʃən,名声；名誉,,,人教版高中选修6,3,,,人教版 高中选修6,高中
civilization,，sɪvələ'zeʃən,文明；文化；文明社会,,,人教版高中选修6,3,,,人教版 高中选修6,高中
Egypt,'idʒɪpt,埃及（东北非国家）,,,人教版高中选修6,3,,,人教版 高中选修6,高中
Egyptian,ɪ'dʒɪpʃ(ə)n,埃及的；埃及人的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
visual,'vɪʒʊəl,视觉的；看得见的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
fragrant,'fregrənt,香的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
Monet,,莫奈（法国画家）,,,人教版高中选修6,3,,,人教版 高中选修6,高中
Whitney,'hwɪtni,惠特尼,,,人教版高中选修6,3,,,人教版 高中选修6,高中
Madison,'mædisən,麦迪逊,,,人教版高中选修6,3,,,人教版 高中选修6,高中
contemporary,kən'tɛmpərɛri,当代的；同时代的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
permanent,'pɝmənənt,永久的；持久的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
district,'dɪstrɪkt,区；区域；行政区,,,人教版高中选修6,3,,,人教版 高中选修6,高中
committee,kə'mɪti,委员会,,,人教版高中选修6,3,,,人教版 高中选修6,高中
signature,'sɪgnətʃɚ,署名；签字,,,人教版高中选修6,3,,,人教版 高中选修6,高中
poetry,'poətri,诗（总称）；诗意,,,人教版高中选修6,3,,,人教版 高中选修6,高中
tick,tɪk,给……标记号,,,人教版高中选修6,3,,,人教版 高中选修6,高中
rhyme,raɪm,押韵短诗；〔押韵的〕儿歌，童谣；(使)押韵,,,人教版高中选修6,3,,,人教版 高中选修6,高中
convey,kən've,传达，传递,,,人教版高中选修6,3,,,人教版 高中选修6,高中
emotion,ɪ'moʃən,情感；情结；感情,,,人教版高中选修6,3,,,人教版 高中选修6,高中
nursery,'nɝsəri,托儿所,,,人教版高中选修6,3,,,人教版 高中选修6,高中
nursery rhyme,,童谣,,,人教版高中选修6,3,,,人教版 高中选修6,高中
concrete,'kɑŋkrit,具体的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
repetition,'rɛpə'tɪʃən,重复；反复,,,人教版高中选修6,3,,,人教版 高中选修6,高中
contradictory,，kɑntrə'dɪktəri,引起矛盾的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
hush,hʌʃ,（使某人）安静下来,,,人教版高中选修6,3,,,人教版 高中选修6,高中
mockingbird,'mɑkɪŋbɝd,嘲鸫（一种鸟，能模仿其他鸟的叫声）,,,人教版高中选修6,3,,,人教版 高中选修6,高中
diamond,'daɪəmənd,钻石；菱形,,,人教版高中选修6,3,,,人教版 高中选修6,高中
brass,bræs,黄铜；黄铜器,,,人教版高中选修6,3,,,人教版 高中选修6,高中
billy-goat,,公山羊,,,人教版高中选修6,3,,,人教版 高中选修6,高中
flexible,'flɛksəbl,灵活的；可弯曲的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
pattern,'pætɚn,模式；式样；图案,,,人教版高中选修6,3,,,人教版 高中选修6,高中
squire,'skwaɪr,乡绅,,,人教版高中选修6,3,,,人教版 高中选修6,高中
cottage,'kɑtɪdʒ,村舍；小屋,,,人教版高中选修6,3,,,人教版 高中选修6,高中
coffin,'kɔfɪn,棺材,,,人教版高中选修6,3,,,人教版 高中选修6,高中
sparrow,'spæro,麻雀,,,人教版高中选修6,3,,,人教版 高中选修6,高中
kitten,'kɪtn,小猫,,,人教版高中选修6,3,,,人教版 高中选修6,高中
take it easy,,轻松；不紧张；从容,,,人教版高中选修6,3,,,人教版 高中选修6,高中
run out of,,用完,,,人教版高中选修6,3,,,人教版 高中选修6,高中
cinquain,sɪŋ'ken,五行诗,,,人教版高中选修6,3,,,人教版 高中选修6,高中
be made up of,,由……构成,,,人教版高中选修6,3,,,人教版 高中选修6,高中
tease,tiz,取笑；招惹；戏弄,,,人教版高中选修6,3,,,人教版 高中选修6,高中
salty,'sɔlti,含盐的；咸的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
droop,drup,低垂；凋萎；萎靡,,,人教版高中选修6,3,,,人教版 高中选修6,高中
dread,drɛd,害怕；畏惧,,,人教版高中选修6,3,,,人教版 高中选修6,高中
endless,ˈɛndlɪs,无穷的；无止境的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
haiku,,俳句,,,人教版高中选修6,3,,,人教版 高中选修6,高中
syllable,'sɪləbl,音节,,,人教版高中选修6,3,,,人教版 高中选修6,高中
minimum,'mɪnɪməm,最低限度；最少量;最小数,,,人教版高中选修6,3,,,人教版 高中选修6,高中
translation,træns'leʃən,翻译；译文,,,人教版高中选修6,3,,,人教版 高中选修6,高中
branch,bræntʃ,枝条；分支;分部;支流；部门,,,人教版高中选修6,3,,,人教版 高中选修6,高中
melt,mɛlt,（使）融化；（使）熔化,,,人教版高中选修6,3,,,人教版 高中选修6,高中
brimful,'brim'ful,盈满的；满到边际的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
in particular,,尤其；特别,,,人教版高中选修6,3,,,人教版 高中选修6,高中
eventually,ɪ'vɛntʃuəli,最后；终于,,,人教版高中选修6,3,,,人教版 高中选修6,高中
await,ə'wet,等候；期待,,,人教版高中选修6,3,,,人教版 高中选修6,高中
transform,træns'fɔrm,改变，改造,,,人教版高中选修6,3,,,人教版 高中选修6,高中
revolve,rɪ'vɔlv,（使）旋转,,,人教版高中选修6,3,,,人教版 高中选修6,高中
utter,'ʌtɚ,说；讲；发出（声音）,,,人教版高中选修6,3,,,人教版 高中选修6,高中
sorrow,sɑro,悲伤；悲痛；懊悔,,,人教版高中选修6,3,,,人教版 高中选修6,高中
bare,bɛr,赤裸的；空的；露出，暴露,,,人教版高中选修6,3,,,人教版 高中选修6,高中
librarian,laɪ'brɛrɪən,图书馆馆长；图书馆管理员,,,人教版高中选修6,3,,,人教版 高中选修6,高中
forever,fɚ'ɛvɚ,永远,,,人教版高中选修6,3,,,人教版 高中选修6,高中
stem,stɛm,茎；干,,,人教版高中选修6,3,,,人教版 高中选修6,高中
cement,sə'mɛnt,水泥,,,人教版高中选修6,3,,,人教版 高中选修6,高中
section,'sɛkʃən,部分,,,人教版高中选修6,3,,,人教版 高中选修6,高中
appropriate,əˈproprɪət;(for v.) əˈproprɪet,适当的；正当的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
exchange,ɪks'tʃendʒ,交换，交流；交换，交流,,,人教版高中选修6,3,,,人教版 高中选修6,高中
diploma,dɪ'plomə,毕业文凭；学位证书,,,人教版高中选修6,3,,,人教版 高中选修6,高中
sponsor,'spɑnsɚ,赞助人；主办者；倡议者；赞助，资助,,,人教版高中选修6,3,,,人教版 高中选修6,高中
blank,blæŋk,空白；空白的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
compass,'kʌmpəs,指南针；罗盘,,,人教版高中选修6,3,,,人教版 高中选修6,高中
bride,braɪd,新娘,,,人教版高中选修6,3,,,人教版 高中选修6,高中
bridegroom,'braɪdɡrum,新郎,,,人教版高中选修6,3,,,人教版 高中选修6,高中
championship,'tʃæmpɪənʃɪp,锦标赛，冠军赛,,,人教版高中选修6,3,,,人教版 高中选修6,高中
rhythmic,,有节奏的；有规律的,,,人教版高中选修6,3,,,人教版 高中选修6,高中
darkness,'dɑrknəs,黑暗；漆黑,,,人教版高中选修6,3,,,人教版 高中选修6,高中
