text,phonetic,meaning,example,audio,tag,difficulty,root,inflections,source,grade
a,ə， eɪ,art. 一（个、件……）,,,高考3500,3,,,新课标高考词汇,高中
an,æn; ən,art. 一（个、件……）用于元音前,,,高考3500,3,,,新课标高考词汇,高中
abandon,əˈbændən,v.抛弃，舍弃，放弃,,,高考3500,3,,,新课标高考词汇,高中
ability,əˈbɪlɪtɪ,n. 能力；才能,,,高考3500,3,,,新课标高考词汇,高中
able,ˈeɪb(ə)l,a. 能够；有能力的,,,高考3500,3,,,新课标高考词汇,高中
abnormal,æbˈnɔːm(ə)l,a. 反常的，变态的,,,高考3500,3,,,新课标高考词汇,高中
aboard,əˈbɔːd,prep. 上（船，飞机，火车，汽车等）,,,高考3500,3,,,新课标高考词汇,高中
abolish,əˈbɔlɪʃ,v. 废除，废止,,,高考3500,3,,,新课标高考词汇,高中
abortion,əˈbɔːʃ(ə)n,v. 人工流产，堕胎,,,高考3500,3,,,新课标高考词汇,高中
about,əˈbaʊt,ad. 大约；到处；四处 prep. 关于；在各处；四处,,,高考3500,3,,,新课标高考词汇,高中
above,əˈbʌv,prep. 在……上面 a. 上面的 ad. 在……之上,,,高考3500,3,,,新课标高考词汇,高中
abroad,əˈbrɔːd,ad. 到（在）国外,,,高考3500,3,,,新课标高考词汇,高中
abrupt,əˈbrʌpt,a. 突然的，意外的，粗鲁,,,高考3500,3,,,新课标高考词汇,高中
absence,ˈæbsəns,n. 不在，缺席,,,高考3500,3,,,新课标高考词汇,高中
absent,ˈæbsənt,a. 缺席， 不在,,,高考3500,3,,,新课标高考词汇,高中
absolute,ˈæbsəluːt,a. 完全，全部，绝对的,,,高考3500,3,,,新课标高考词汇,高中
absorb,əbˈsɔːb,v. 吸收，使全神贯注,,,高考3500,3,,,新课标高考词汇,高中
abstract,ˈæbstrækt,a./ n. 抽象的（作品）,,,高考3500,3,,,新课标高考词汇,高中
absurd,əbˈsɜːd,a.荒谬的，怪诞不经的,,,高考3500,3,,,新课标高考词汇,高中
abundant,əˈbʌndənt,a.大量，丰盛的，充裕的,,,高考3500,3,,,新课标高考词汇,高中
abuse,əˈbjuːz,v.（酗酒）滥用，虐待，恶语,,,高考3500,3,,,新课标高考词汇,高中
academic,ækəˈdemɪk,a. / n. 学术的，教学的,,,高考3500,3,,,新课标高考词汇,高中
academy,əˈkædəmɪ,n.专科学院，（美）私立学校,,,高考3500,3,,,新课标高考词汇,高中
accelerate,əkˈseləreɪt,v.（使）加速，加快,,,高考3500,3,,,新课标高考词汇,高中
accent,ˈæksənt,n. 口音，音调,,,高考3500,3,,,新课标高考词汇,高中
accept,əkˈsept,vt. 接受,,,高考3500,3,,,新课标高考词汇,高中
access,ˈækses,n. / v. 通道，入径，存取（计算机文件）,,,高考3500,3,,,新课标高考词汇,高中
accessible,əkˈsesɪb(ə)l,a. 可到达的，可接受的，易相处的）,,,高考3500,3,,,新课标高考词汇,高中
accident,ˈæksɪdənt,n. 事故，意外的事,,,高考3500,3,,,新课标高考词汇,高中
accommodation,əkɔməˈdeɪʃ(ə)n,n.住宿，膳宿,,,高考3500,3,,,新课标高考词汇,高中
accompany,əˈkʌmpənɪ,v. 陪同，陪伴，与…同时发生,,,高考3500,3,,,新课标高考词汇,高中
accomplish,əˈkʌmplɪʃ,v. 完成,,,高考3500,3,,,新课标高考词汇,高中
according to,əˈkɔːdɪŋ tʊ,ad. 按照，根据,,,高考3500,3,,,新课标高考词汇,高中
account,əˈkaʊnt,n. 账目;描述,,,高考3500,3,,,新课标高考词汇,高中
accountant,əˈkaʊnt(ə)nt,n. 会计，会计师,,,高考3500,3,,,新课标高考词汇,高中
accumulate,əˈkjuːmjʊleɪt,v. 积累，积聚,,,高考3500,3,,,新课标高考词汇,高中
accuracy,ˈækjʊrəsɪ,n. 准确，精确,,,高考3500,3,,,新课标高考词汇,高中
accuse,əˈkjuːz,v. 正确无误的，精确的,,,高考3500,3,,,新课标高考词汇,高中
accustomed,əˈkʌstəmd,a. 习惯于，惯常的,,,高考3500,3,,,新课标高考词汇,高中
ache,eɪk,vi.& n. 痛，疼痛,,,高考3500,3,,,新课标高考词汇,高中
achieve,əˈtʃiːv,vt. 达到，取得,,,高考3500,3,,,新课标高考词汇,高中
achievement,əˈtʃiːvmənt,n. 成就，成绩，功绩,,,高考3500,3,,,新课标高考词汇,高中
acid,ˈæsɪd,a. 酸的,,,高考3500,3,,,新课标高考词汇,高中
acknowledge,əkˈnɔlɪdʒ,v. 承认,,,高考3500,3,,,新课标高考词汇,高中
acquaintance,əˈkweɪntəns,n. 熟人，（与某人）认识,,,高考3500,3,,,新课标高考词汇,高中
acquire,əˈkwaɪə(r),v. 获得，得到,,,高考3500,3,,,新课标高考词汇,高中
acquisition,ækwɪˈzɪʃ(ə)n,n. 获得，得到,,,高考3500,3,,,新课标高考词汇,高中
acre,ˈeɪkə(r),n. 英亩,,,高考3500,3,,,新课标高考词汇,高中
across,əˈkrɔs,prep. 横过，穿过,,,高考3500,3,,,新课标高考词汇,高中
act,ækt,n. 法令，条例 v. （戏）表演，扮演（角色），演出（戏）；行动，做事,,,高考3500,3,,,新课标高考词汇,高中
action,ˈækʃ(ə)n,n. 行动,,,高考3500,3,,,新课标高考词汇,高中
active,ˈæktɪv,a. 积极的，主动的,,,高考3500,3,,,新课标高考词汇,高中
activity,ækˈtɪvɪtɪ,n. 活动,,,高考3500,3,,,新课标高考词汇,高中
actor,ˈæktə(r),n. 男演员,,,高考3500,3,,,新课标高考词汇,高中
actress,ˈæktrɪs,n. 女演员,,,高考3500,3,,,新课标高考词汇,高中
actual,ˈæktʃʊəl,a. 实际的； 现实的,,,高考3500,3,,,新课标高考词汇,高中
acute,,a.十分严重的，（病）急性的,,,高考3500,3,,,新课标高考词汇,高中
AD,,n. 公元,,,高考3500,3,,,新课标高考词汇,高中
ad,æd,(缩) =advertisement n.广告,,,高考3500,3,,,新课标高考词汇,高中
adapt,əˈdæpt,v. 使适应，适合，改编,,,高考3500,3,,,新课标高考词汇,高中
adaptation,ədæpˈteɪʃ(ə)n,n. 适应，改编本,,,高考3500,3,,,新课标高考词汇,高中
add,æd,vt.添加，增加,,,高考3500,3,,,新课标高考词汇,高中
addicted,əˈdɪktɪd,a. 上瘾，成瘾，入迷,,,高考3500,3,,,新课标高考词汇,高中
addition,əˈdɪʃ(ə)n,n.增加;（算数用语）加,,,高考3500,3,,,新课标高考词汇,高中
address,əˈdres,n. 地址,,,高考3500,3,,,新课标高考词汇,高中
adequate,ˈædɪkwət,a. 合适的，合乎需要的,,,高考3500,3,,,新课标高考词汇,高中
adjust,əˈdʒʌst,v.调整，调节，适应，习惯,,,高考3500,3,,,新课标高考词汇,高中
adjustment,əˈdʒʌstmənt,n. 调整，适应,,,高考3500,3,,,新课标高考词汇,高中
administration,ədmɪnɪˈstreɪʃ(ə)n,n.管理，行政部门,,,高考3500,3,,,新课标高考词汇,高中
admirable,ˈædmərəb(ə)l,a.值得赞赏的，可钦佩的,,,高考3500,3,,,新课标高考词汇,高中
admire,ədˈmaɪə(r),v. 钦佩；羡慕,,,高考3500,3,,,新课标高考词汇,高中
admission,ədˈmɪʃ(ə)n,n. 准入， 接纳,,,高考3500,3,,,新课标高考词汇,高中
admit,ədˈmɪt,vt. 承认，准许（入场，入学，入会）,,,高考3500,3,,,新课标高考词汇,高中
adolescence,ædəʊˈlesns,n. 青春，青春期,,,高考3500,3,,,新课标高考词汇,高中
adolescent,ædəˈlesənt,n. 青少年,,,高考3500,3,,,新课标高考词汇,高中
adopt,əˈdɔpt,v. 收养，领养,,,高考3500,3,,,新课标高考词汇,高中
adore,əˈdɔː(r),v. （不用于进行时）热爱，爱慕某人,,,高考3500,3,,,新课标高考词汇,高中
adult,ˈædʌlt,n. 成年人,,,高考3500,3,,,新课标高考词汇,高中
advance,ədˈvɑːns; (US) ədˈvæns,v. 推进，促进；前进,,,高考3500,3,,,新课标高考词汇,高中
advantage,ədˈvɑːntɪdʒ,n. 优点； 好处,,,高考3500,3,,,新课标高考词汇,高中
adventure,ədˈventʃə(r),n. 冒险； 奇遇,,,高考3500,3,,,新课标高考词汇,高中
advertise,ˈædvətaɪz,vt. 为……做广告,,,高考3500,3,,,新课标高考词汇,高中
advertisement,ədˈvɜːtɪsmənt,n. 广告,,,高考3500,3,,,新课标高考词汇,高中
advice,ədˈvaɪs,n. 忠告，劝告，建议,,,高考3500,3,,,新课标高考词汇,高中
advise,ədˈvaɪz,vt. 忠告，劝告，建议,,,高考3500,3,,,新课标高考词汇,高中
advocate,ˈædvəkət,v. 拥护，支持，提倡,,,高考3500,3,,,新课标高考词汇,高中
